;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
NW;103;Herford – Minden-Lübbecke I;9;466,3;237,3;263,0 ;126,0;242,3;564;16,7  ;3,2  ;7,5  ;15,6  ;33,1  ;23,8  ;10,7  ;11,2  ;35,7  ;28,8  ;+   6,4;6,3  ;42,7 ;33,1 ;17,9 ;6,3;1,2;134,8;646,0 ;87,0  ;7,8  ;409,1;345,7 ;0,8    ;47,8    ;19,1    ;32,3    ;10,6  ;10,9;
NW;104;Minden-Lübbecke II;11;1 135,8;272,8;307,8 ;149,3;290,8;271;17,5  ;3,3  ;7,7  ;15,6  ;32,6  ;23,4  ;11,3  ;11,7  ;40,7  ;33,2  ;+   7,1;14,9  ;43,5 ;31,4 ;18,3 ;6,7;0,9;110,5;653,7 ;84,6  ;5,3  ;375,2;siehe Wkr 103;siehe Wkr 103;siehe Wkr 103;siehe Wkr 103;siehe Wkr 103;siehe Wkr 103;siehe Wkr 103;
NW;105;Lippe I;10;759,9;204,0;230,0 ;110,9;214,8;303;17,7  ;3,3  ;7,6  ;15,7  ;32,4  ;23,3  ;11,3  ;11,3  ;35,9  ;31,4  ;+   4,4;5,3  ;30,9 ;24,5 ;24,2 ;20,3;0,8;100,0;615,2 ;87,1  ;5,7  ;408,1;280,2 ;1,1    ;55,5    ;14,0    ;29,3    ;9,9  ;10,5;
NW;106;Höxter – Lippe II;16;1 686,1;255,1;287,2 ;139,6;268,6;170;18,4  ;3,7  ;8,3  ;15,8  ;31,9  ;21,9  ;11,0  ;10,7  ;33,5  ;29,5  ;+   4,3;17,9  ;28,4 ;29,5 ;29,6 ;12,5;0,6;69,3;609,9 ;82,3  ;6,6  ;368,2;286,5 ;1,0    ;42,1    ;17,0    ;39,9    ;10,7  ;10,8;
NW;107;Paderborn;10;1 245,0;230,7;281,4 ;138,7;260,1;226;19,2  ;3,7  ;8,9  ;18,0  ;32,2  ;18,1  ;12,7  ;8,7  ;35,7  ;27,6  ;+  12,1;12,0  ;35,3 ;31,6 ;23,3 ;9,8;0,6;101,5;590,3 ;84,9  ;13,2  ;389,2;313,3 ;0,9    ;46,3    ;17,4    ;35,4    ;11,9  ;11,7;
NW;108;Hagen;1;160,4;209,4;211,0 ;101,2;179,8;1 315;15,6  ;3,0  ;7,3  ;15,6  ;34,0  ;24,4  ;10,2  ;11,6  ;31,4  ;35,0  ;-   5,0;0,7  ;47,6 ;26,6 ;22,4 ;3,5;0,8;98,0;531,2 ;87,5  ;2,4  ;472,0;336,7 ;0,4    ;39,7    ;22,3    ;37,5    ;14,1  ;13,8;
NW;109;Ennepe-Ruhr-Kreis I;8;335,9;236,5;247,2 ;119,1;224,8;736;15,1  ;2,9  ;6,8  ;15,9  ;35,5  ;23,8  ;9,4  ;12,0  ;32,4  ;31,4  ;-   1,7;2,5  ;49,3 ;26,3 ;18,3 ;6,0;0,8;113,9;592,1 ;87,4  ;4,0  ;447,5;279,8 ;0,7    ;51,9    ;15,2    ;32,2    ;10,8  ;10,9;
NW;110;Bochum I;3;76,0;238,5;246,0 ;117,8;218,4;3 238;13,7  ;2,8  ;7,2  ;17,5  ;34,8  ;24,0  ;8,8  ;12,4  ;30,8  ;31,9  ;-   4,8;0,3  ;52,6 ;16,4 ;16,4 ;14,7;0,4;102,7;508,8 ;88,9  ;3,4  ;462,0;298,6 ;0,4    ;41,8    ;18,9    ;39,0    ;15,0  ;15,1;
NW;111;Bochum II – Ennepe-Ruhr-Kreis II;siehe Wkr 110;136,9;239,9;245,6 ;119,3;217,0;1 794;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;
NW;112;Herne – Bochum III;siehe Wkr 110;56,3;185,0;189,8 ;92,2;162,2;3 371;14,8  ;3,0  ;7,6  ;16,2  ;34,2  ;24,3  ;9,6  ;12,4  ;27,9  ;31,7  ;-   6,6;0,2  ;42,4 ;24,2 ;27,3 ;6,1;0,4;110,7;484,2 ;89,1  ;4,2  ;451,8;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;siehe Wkr 110;
NW;113;Dortmund I;1;54,5;197,5;207,3 ;101,3;159,3;3 805;14,7  ;2,9  ;7,4  ;16,4  ;34,8  ;23,7  ;10,1  ;11,8  ;31,5  ;32,8  ;-   3,0;0,4  ;43,0 ;14,9 ;23,7 ;18,4;0,4;53,1;510,4 ;89,0  ;4,3  ;481,4;331,2 ;0,5    ;33,1    ;21,4    ;44,9    ;16,3  ;17,5;
NW;114;Dortmund II    ;siehe Wkr 113;113,8;176,3;177,7 ;85,8;156,8;1 562;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;
NW;115;Dortmund III;siehe Wkr 113;112,0;210,3;212,0 ;101,9;190,1;1 893;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;siehe Wkr 113;
NW;116;Unna I;7;347,0;250,8;276,6 ;135,2;248,1;797;16,9  ;3,4  ;7,7  ;15,9  ;34,9  ;21,1  ;10,5  ;10,6  ;110,5  ;104,2  ;+   6,2;2,3  ;28,1 ;24,6 ;27,8 ;19,5;0,5;76,2;549,4 ;88,2  ;5,9  ;403,3;250,5 ;0,8    ;42,6    ;25,0    ;31,6    ;12,3  ;12,6;
NW;117;Hamm – Unna II;4;421,9;307,8;330,9 ;161,2;285,0;784;17,0  ;3,3  ;8,3  ;16,0  ;33,6  ;21,8  ;11,4  ;11,2  ;37,1  ;43,8  ;-   6,6;2,9  ;37,1 ;25,8 ;23,9 ;13,2;0,3;78,8;530,6 ;88,8  ;6,3  ;413,8;254,0 ;1,2    ;41,1    ;20,2    ;37,5    ;14,2  ;15,0;
NW;118;Soest;14;1 327,5;266,7;301,4 ;147,4;278,6;227;17,9  ;3,5  ;8,0  ;16,5  ;33,2  ;20,9  ;10,6  ;11,0  ;34,5  ;24,9  ;+   9,2;9,2  ;22,4 ;28,3 ;30,9 ;18,4;0,7;104,8;597,5 ;85,6  ;6,9  ;385,2;302,2 ;1,0    ;48,8    ;16,1    ;34,1    ;9,9  ;10,1;
NW;119;Hochsauerlandkreis;12;1 958,5;260,3;284,4 ;140,2;260,8;145;18,0  ;3,5  ;8,2  ;16,1  ;32,2  ;22,0  ;11,4  ;10,5  ;28,9  ;28,0  ;+   1,9;10,3  ;34,4 ;30,8 ;26,6 ;8,2;1,1;114,8;598,1 ;85,0  ;6,9  ;391,4;314,8 ;1,0    ;53,9    ;13,5    ;31,5    ;9,4  ;9,4;
NW;120;Siegen-Wittgenstein I;8;925,2;218,5;232,0 ;114,5;211,1;251;17,1  ;3,4  ;7,9  ;16,6  ;33,5  ;21,6  ;10,5  ;10,3  ;27,1  ;27,9  ;-   0,6;5,6  ;55,2 ;31,0 ;10,9 ;2,9;1,1;128,0;607,6 ;85,2  ;5,1  ;398,4;344,3 ;0,3    ;44,4    ;18,7    ;36,5    ;11,3  ;11,1;
NW;121;Olpe – Siegen-Wittgenstein II;10;917,5;186,4;205,7 ;102,3;186,8;224;18,7  ;3,7  ;8,2  ;17,3  ;32,4  ;19,7  ;11,5  ;9,2  ;26,2  ;25,5  ;+   3,0;8,6  ;42,3 ;33,8 ;19,2 ;4,7;1,3;152,9;594,3 ;85,1  ;7,6  ;360,2;314,2 ;0,6    ;61,3    ;14,9    ;23,1    ;10,0  ;9,5;
NW;122;Märkischer Kreis I;6;437,0;208,0;225,8 ;110,0;200,7;517;17,5  ;3,3  ;7,5  ;16,3  ;34,0  ;21,3  ;10,7  ;10,7  ;34,9  ;32,0  ;+   2,9;2,9  ;37,2 ;25,9 ;24,0 ;12,9;1,4;165,2;577,1 ;87,5  ;3,8  ;417,7;299,4 ;0,6    ;56,7    ;14,3    ;28,5    ;12,4  ;11,8;
NW;123;Märkischer Kreis II;9;621,9;213,3;233,7 ;114,5;198,6;376;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;siehe Wkr 122;366,0 ;0,4    ;65,4    ;11,4    ;22,9    ;10,4  ;10,1;
NW;905;Land insgesamt;396;34 077,7;16 711,8;17 947,7 ;8 715,2;15 890,8;527;16,3  ;3,1  ;7,5  ;16,7  ;34,4  ;21,9  ;10,5  ;10,8  ;39,5  ;36,1  ;+   3,0;4,0  ;33,5 ;28,2 ;26,5 ;11,9;0,6;92,3;567,8 ;87,1  ;5,8  ;431,6;319,6 ;0,7    ;40,8    ;20,1    ;38,3    ;12,0  ;12,2;
HE;124;Waldeck;27;2 097,5;191,7;214,0 ;104,5;203,0;102;16,4  ;3,2  ;7,5  ;15,8  ;34,5  ;22,6  ;10,0  ;11,1  ;42,2  ;37,5  ;+   3,6;14,5  ;32,2 ;35,2 ;21,3 ;11,3;0,5;98,6;660,7 ;82,1  ;8,2  ;405,0;253,4 ;1,4    ;38,7    ;13,7    ;46,3    ;10,9  ;12,2;
HE;125;Kassel;5;186,0;228,0;244,3 ;116,2;212,2;1 313;13,9  ;2,7  ;8,1  ;17,9  ;33,5  ;23,9  ;9,6  ;12,2  ;58,6  ;59,2  ;-   3,2;0,3  ;54,4 ;24,6 ;7,0 ;14,0;0,5;93,1;497,6 ;87,8  ;3,2  ;482,4;401,0 ;0,4    ;26,8    ;23,2    ;49,6    ;15,9  ;17,8;
HE;126;Werra-Meißner;25;1 265,2;198,6;211,7 ;103,4;202,8;167;15,5  ;3,2  ;7,3  ;15,2  ;33,4  ;25,4  ;9,2  ;12,9  ;33,8  ;35,6  ;-   5,5;14,6  ;40,5 ;28,8 ;17,8 ;12,9;0,8;74,8;649,4 ;81,7  ;7,1  ;420,8;305,6 ;1,4    ;54,8    ;16,8    ;27,1    ;12,7  ;13,8;
HE;127;Schwalm-Eder;31;1 892,2;184,7;206,3 ;102,4;197,2;109;16,6  ;3,5  ;7,8  ;15,8  ;34,0  ;22,4  ;10,1  ;11,5  ;38,3  ;32,6  ;+   4,2;17,7  ;35,7 ;32,0 ;21,2 ;11,2;0,6;64,8;675,8 ;81,4  ;8,5  ;382,9;228,1 ;1,7    ;44,9    ;13,7    ;39,8    ;12,0  ;12,5;
HE;128;Hersfeld;32;1 817,5;200,3;216,3 ;106,3;204,7;119;15,9  ;3,3  ;7,6  ;15,1  ;33,4  ;24,8  ;9,6  ;12,4  ;29,1  ;27,2  ;-   0,9;18,4  ;45,5 ;32,1 ;15,0 ;7,4;0,6;89,4;663,5 ;81,4  ;6,6  ;400,2;286,3 ;0,9    ;49,4    ;18,4    ;31,2    ;11,4  ;12,3;
HE;129;Marburg;22;1 262,5;229,3;252,2 ;123,8;227,8;200;15,9  ;3,3  ;9,6  ;19,2  ;32,6  ;19,4  ;10,7  ;9,8  ;42,2  ;39,0  ;+   4,2;12,0  ;33,7 ;40,5 ;19,4 ;6,4;0,6;98,8;588,1 ;83,5  ;6,7  ;372,7;290,1 ;0,7    ;44,2    ;12,6    ;42,5    ;10,1  ;10,8;
HE;130;Lahn-Dill;25;1 153,4;258,6;286,3 ;140,4;259,9;248;17,2  ;3,4  ;7,7  ;16,3  ;33,4  ;22,0  ;11,0  ;11,6  ;31,2  ;28,0  ;+   2,6;4,9  ;46,1 ;34,0 ;10,5 ;9,4;1,0;123,0;632,6 ;85,3  ;7,9  ;391,5;288,7 ;0,8    ;52,2    ;16,5    ;30,5    ;10,9  ;11,1;
HE;131;Gießen;26;1 453,0;257,9;288,6 ;141,2;262,8;199;16,1  ;3,2  ;8,2  ;18,6  ;33,5  ;20,4  ;10,8  ;10,0  ;42,5  ;40,3  ;+   3,0;6,0  ;32,4 ;40,3 ;15,5 ;11,8;0,6;67,0;613,6 ;85,2  ;9,1  ;435,5;320,9 ;0,6    ;35,8    ;21,1    ;42,6    ;11,6  ;12,2;
HE;132;Fulda;34;2 360,8;278,0;315,3 ;155,0;293,4;134;17,5  ;3,5  ;7,9  ;16,3  ;32,4  ;22,4  ;11,0  ;10,6  ;34,3  ;26,9  ;+   7,8;21,3  ;30,0 ;40,1 ;21,6 ;8,4;0,8;86,2;669,7 ;79,3  ;8,7  ;391,6;303,2 ;0,9    ;44,6    ;20,0    ;34,4    ;10,2  ;10,9;
HE;133;Hochtaunus;24;915,6;297,5;324,0 ;156,9;287,2;354;14,8  ;2,8  ;6,9  ;16,0  ;37,6  ;22,0  ;10,0  ;10,5  ;58,3  ;54,0  ;+   3,7;2,3  ;35,0 ;33,1 ;19,5 ;12,5;0,5;76,8;659,7 ;89,4  ;7,1  ;449,9;274,0 ;0,7    ;34,0    ;20,1    ;45,2    ;6,7  ;7,4;
HE;134;Wetterau;25;1 100,7;250,7;286,2 ;140,7;260,1;260;16,3  ;3,1  ;7,4  ;16,9  ;35,4  ;20,8  ;11,0  ;10,6  ;46,8  ;39,4  ;+   7,9;7,3  ;26,3 ;34,1 ;24,4 ;15,2;0,5;47,4;638,2 ;84,6  ;8,0  ;396,8;239,7 ;1,0    ;37,6    ;20,3    ;41,0    ;8,7  ;9,2;
HE;135;Rheingau-Taunus – Limburg;27;1 171,2;258,2;292,1 ;143,9;260,7;249;16,5  ;3,2  ;7,4  ;16,9  ;35,4  ;20,6  ;10,8  ;10,3  ;45,5  ;39,7  ;+   6,4;7,0  ;42,4 ;28,1 ;16,3 ;13,2;0,5;53,0;658,1 ;85,5  ;8,7  ;399,2;237,7 ;1,4    ;36,0    ;18,3    ;44,2    ;7,6  ;8,2;
HE;136;Wiesbaden;1;203,9;251,9;267,7 ;127,6;218,9;1 313;13,8  ;2,8  ;7,4  ;17,8  ;34,9  ;23,2  ;10,0  ;12,2  ;53,1  ;48,8  ;+   2,0;1,1  ;47,4 ;25,3 ;20,1 ;7,2;0,3;65,1;762,5 ;91,0  ;3,5  ;483,1;433,1 ;0,4    ;23,3    ;19,7    ;56,6    ;9,9  ;10,5;
HE;137;Hanau;22;840,6;292,3;327,9 ;161,0;287,8;390;16,2  ;3,1  ;7,5  ;16,9  ;35,8  ;20,4  ;10,5  ;9,9  ;37,9  ;35,9  ;+   2,6;5,9  ;33,1 ;36,5 ;21,7 ;8,7;0,6;81,7;626,0 ;85,9  ;8,1  ;419,0;274,1 ;0,8    ;44,2    ;21,4    ;33,6    ;9,9  ;10,6;
HE;138;Frankfurt am Main I – Main-Taunus;8;316,0;714,7;751,8 ;364,4;209,6;2 379;13,2  ;2,6  ;7,1  ;18,7  ;37,1  ;21,2  ;9,7  ;10,1  ;64,2  ;65,7  ;-   1,9;0,7  ;44,8 ;24,5 ;20,3 ;10,5;0,4;100,5;550,0 ;89,3  ;5,7  ;486,3;667,4 ;0,2    ;22,1    ;25,6    ;52,0    ;10,4  ;10,9;
HE;139;Frankfurt am Main II;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;178,2;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;
HE;140;Frankfurt am Main III;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;181,0;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;siehe Wkr 138;
HE;141;Groß-Gerau;17;552,9;293,2;317,4 ;157,8;262,4;574;15,8  ;3,1  ;7,8  ;17,6  ;36,2  ;19,5  ;10,9  ;9,2  ;51,1  ;44,5  ;+   8,3;2,4  ;14,6 ;30,3 ;37,2 ;17,9;0,4;150,0;649,6 ;87,3  ;7,6  ;418,8;342,3 ;0,6    ;45,7    ;25,1    ;28,6    ;7,2  ;7,2;
HE;142;Offenbach;9;241,4;307,5;337,0 ;165,4;270,5;1 396;15,1  ;2,9  ;7,5  ;17,3  ;36,9  ;20,2  ;10,7  ;9,2  ;56,5  ;54,3  ;+   3,7;0,6  ;35,5 ;28,9 ;22,3 ;13,2;0,7;95,9;613,5 ;89,3  ;7,9  ;450,3;358,7 ;0,5    ;37,8    ;25,2    ;36,5    ;9,5  ;10,8;
HE;143;Darmstadt;13;415,4;275,8;296,6 ;146,0;256,3;714;15,3  ;3,0  ;7,5  ;18,2  ;35,9  ;20,1  ;10,5  ;10,0  ;57,2  ;54,4  ;+   3,3;2,5  ;24,1 ;29,6 ;29,1 ;17,1;0,5;103,4;622,4 ;86,7  ;6,9  ;435,9;398,9 ;0,4    ;35,5    ;19,8    ;44,3    ;8,9  ;9,1;
HE;144;Odenwald;31;1 149,0;298,6;331,8 ;165,0;293,6;289;17,6  ;3,4  ;7,7  ;15,5  ;34,2  ;21,6  ;10,3  ;10,8  ;40,0  ;31,8  ;+   7,7;10,7  ;36,7 ;32,3 ;23,7 ;7,3;0,7;104,3;664,6 ;83,2  ;3,3  ;390,6;230,8 ;0,9    ;50,2    ;19,8    ;29,0    ;8,3  ;8,5;
HE;145;Bergstraße;22;719,5;240,1;260,0 ;127,7;234,1;361;16,1  ;3,1  ;7,2  ;16,4  ;35,9  ;21,3  ;10,3  ;10,5  ;37,5  ;36,2  ;+   1,1;4,8  ;32,3 ;32,6 ;25,4 ;9,7;0,7;62,0;663,7 ;85,7  ;6,3  ;409,1;234,1 ;0,7    ;42,5    ;20,9    ;35,9    ;9,2  ;9,3;
HE;906;Land insgesamt;426;21 114,5;5 507,8;6 027,3 ;2 949,8;5 264,3;285;15,5  ;3,1  ;7,6  ;17,2  ;35,2  ;21,4  ;10,4  ;10,5  ;47,8  ;44,8  ;+   2,9;6,5  ;34,3 ;34,7 ;20,5 ;10,4;0,6;88,2;628,5 ;85,8  ;7,1  ;428,7;346,7 ;0,6    ;35,7    ;21,3    ;42,4    ;9,9  ;10,5;
RP;146;Neuwied;181;1 268,8;277,1;316,2 ;154,7;295,7;249;17,6  ;3,3  ;7,3  ;15,6  ;33,5  ;22,7  ;10,8  ;11,3  ;46,3  ;37,2  ;+   8,6;5,8  ;39,0 ;32,1 ;18,5 ;10,4;0,9;94,1;628,0 ;84,9  ;10,0  ;400,5;270,4 ;0,7    ;50,0    ;17,2    ;32,0    ;10,1  ;9,6;
RP;147;Ahrweiler;131;1 337,0;215,7;242,5 ;118,9;228,7;181;16,7  ;3,2  ;7,0  ;16,0  ;34,5  ;22,7  ;10,3  ;11,2  ;44,6  ;35,3  ;+   8,5;8,1  ;42,9 ;25,1 ;18,6 ;13,4;0,7;60,4;632,5 ;84,2  ;10,3  ;415,5;252,5 ;1,0    ;41,7    ;17,6    ;39,7    ;9,6  ;10,2;
RP;148;Koblenz;81;792,5;240,0;251,0 ;121,1;233,0;317;14,1  ;2,8  ;7,4  ;17,0  ;34,0  ;24,7  ;9,7  ;11,4  ;57,9  ;55,2  ;+   1,0;1,1  ;44,5 ;27,7 ;18,5 ;9,2;0,3;77,4;596,4 ;87,1  ;6,6  ;488,6;353,7 ;0,5    ;29,4    ;21,6    ;48,5    ;9,3  ;9,7;
RP;149;Cochem;243;1 988,5;168,2;186,4 ;91,8;179,8;94;17,2  ;3,5  ;7,8  ;15,5  ;32,8  ;23,2  ;10,1  ;11,3  ;39,1  ;33,4  ;+   4,5;26,9  ;60,1 ;23,3 ;9,5 ;7,1;0,7;73,1;692,3 ;79,1  ;8,2  ;407,9;256,3 ;1,6    ;43,9    ;16,2    ;38,4    ;10,8  ;11,0;
RP;150;Kreuznach;215;1 640,3;230,5;246,9 ;119,8;230,5;151;16,5  ;3,3  ;7,3  ;15,4  ;34,1  ;23,5  ;9,8  ;11,8  ;37,8  ;31,8  ;+   4,1;11,4  ;40,6 ;34,1 ;14,7 ;10,6;0,7;68,3;637,1 ;84,0  ;8,6  ;426,0;276,9 ;1,3    ;40,5    ;17,3    ;40,9    ;12,0  ;12,7;
RP;151;Bitburg;401;3 100,6;197,3;215,3 ;106,3;205,7;69;18,1  ;3,4  ;7,6  ;15,4  ;31,8  ;23,5  ;11,3  ;11,4  ;38,2  ;32,4  ;+   5,7;30,5  ;25,7 ;32,6 ;29,1 ;12,6;0,6;65,7;717,1 ;76,6  ;8,1  ;413,0;252,2 ;1,3    ;45,7    ;17,6    ;35,5    ;9,3  ;9,9;
RP;152;Trier;104;1 208,0;219,4;234,4 ;113,4;220,5;194;15,8  ;3,2  ;8,0  ;17,9  ;32,9  ;22,3  ;9,9  ;10,9  ;49,8  ;45,0  ;+   3,8;14,3  ;65,2 ;20,1 ;8,6 ;6,1;0,5;59,8;612,9 ;82,0  ;7,7  ;426,1;295,5 ;0,9    ;34,2    ;20,0    ;44,8    ;9,9  ;10,2;
RP;153;Montabaur;312;1 659,3;276,1;314,7 ;154,7;294,4;190;17,5  ;3,4  ;7,4  ;15,8  ;33,8  ;22,2  ;10,6  ;10,9  ;42,9  ;35,4  ;+   7,1;8,4  ;45,2 ;29,4 ;13,1 ;12,3;0,9;74,8;662,1 ;83,4  ;9,8  ;398,7;255,8 ;1,3    ;49,5    ;15,8    ;33,4    ;8,4  ;8,9;
RP;154;Mainz;42;524,0;292,3;320,7 ;156,3;275,3;612;15,3  ;2,9  ;7,7  ;18,6  ;35,5  ;19,9  ;10,7  ;9,1  ;60,7  ;54,2  ;+   8,1;9,7  ;59,2 ;25,7 ;10,5 ;4,7;0,3;65,2;621,1 ;84,7  ;9,6  ;455,8;396,6 ;0,7    ;29,0    ;19,4    ;50,9    ;8,3  ;8,7;
RP;155;Worms;95;876,4;217,3;252,4 ;124,0;233,5;288;17,1  ;3,4  ;7,6  ;16,4  ;34,8  ;20,8  ;10,4  ;10,9  ;55,0  ;43,0  ;+  11,5;16,2  ;45,4 ;26,5 ;20,9 ;7,2;0,4;52,3;655,0 ;81,7  ;14,4  ;418,5;202,3 ;1,8    ;37,9    ;22,2    ;38,1    ;9,6  ;9,9;
RP;156;Frankenthal;114;927,6;183,9;206,2 ;101,6;189,1;222;16,9  ;3,4  ;7,6  ;15,7  ;34,5  ;21,9  ;10,3  ;11,1  ;53,2  ;46,7  ;+   5,7;8,9  ;23,8 ;25,2 ;30,2 ;20,8;0,6;109,5;632,8 ;84,8  ;8,0  ;419,6;224,0 ;1,1    ;49,6    ;16,7    ;32,7    ;10,6  ;10,2;
RP;157;Ludwigshafen;9;196,0;212,2;228,7 ;112,8;189,3;1 167;15,7  ;3,0  ;7,2  ;16,7  ;35,6  ;21,8  ;10,1  ;10,3  ;51,8  ;48,8  ;+   2,8;2,3  ;30,1 ;26,1 ;30,4 ;13,4;0,3;192,4;591,9 ;87,1  ;7,4  ;444,5;457,9 ;1,5    ;60,3    ;12,1    ;26,1    ;10,1  ;10,3;
RP;158;Neustadt – Speyer;35;702,8;216,0;237,1 ;114,8;219,6;337;16,1  ;3,0  ;6,7  ;15,6  ;35,4  ;23,1  ;10,1  ;12,2  ;49,0  ;43,0  ;+   3,9;9,9  ;55,8 ;32,8 ;7,7 ;3,7;0,5;53,3;656,2 ;85,0  ;7,8  ;436,2;262,4 ;1,3    ;32,7    ;19,8    ;46,2    ;9,3  ;9,3;
RP;159;Kaiserslautern;149;1 353,1;267,5;291,0 ;143,1;271,0;215;16,4  ;3,2  ;7,3  ;16,3  ;34,0  ;22,9  ;9,7  ;11,3  ;49,3  ;44,8  ;+   2,9;5,7  ;37,4 ;25,7 ;18,6 ;18,3;0,4;67,2;593,4 ;86,1  ;6,0  ;451,4;271,2 ;0,7    ;36,3    ;17,2    ;45,9    ;14,4  ;14,2;
RP;160;Pirmasens;86;1 085,8;180,6;189,4 ;92,2;178,7;174;16,0  ;3,2  ;7,1  ;15,1  ;34,1  ;24,6  ;9,1  ;11,7  ;43,5  ;42,6  ;-   1,7;5,6  ;38,4 ;24,8 ;22,2 ;14,6;0,8;90,3;628,8 ;86,4  ;4,6  ;435,6;263,5 ;0,8    ;46,9    ;18,8    ;33,5    ;14,4  ;14,2;
RP;161;Südpfalz;107;1 186,1;236,7;267,8 ;131,7;247,3;226;17,2  ;3,3  ;7,6  ;16,9  ;34,6  ;20,5  ;10,3  ;9,8  ;54,7  ;46,8  ;+   8,5;15,7  ;58,8 ;27,8 ;9,3 ;4,1;0,4;93,2;674,8 ;81,9  ;8,5  ;406,9;274,5 ;1,0    ;45,1    ;19,0    ;34,9    ;10,1  ;9,7;
RP;907;Land insgesamt;2 305;19 846,5;3 630,8;4 000,6 ;1 957,2;3 692,1;202;16,5  ;3,2  ;7,4  ;16,3  ;34,2  ;22,3  ;10,2  ;10,9  ;48,3  ;41,9  ;+   5,7;11,0  ;48,2 ;27,2 ;15,4 ;9,1;0,6;81,9;638,4 ;83,7  ;8,6  ;426,1;287,3 ;1,1    ;41,7    ;17,9    ;39,3    ;10,3  ;10,5;
BW;162;Stuttgart I;1;113,8;267,9;283,8 ;137,3;216,7;2 495;13,2  ;2,6  ;8,1  ;19,2  ;35,1  ;21,7  ;9,8  ;10,0  ;67,7  ;67,6  ;-   0,1;0,6  ;72,1 ;17,4 ;8,3 ;2,1;0,5;149,3;532,1 ;89,3  ;3,8  ;478,3;579,7 ;0,4    ;33,5    ;17,3    ;48,9    ;9,3  ;10,2;
