;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;
NI;026;Mittelems;49;2 350,9;262,2;289,2 ;142,7;271,3;123;20,5  ;4,0  ;9,0  ;16,7  ;31,1  ;18,7  ;13,0  ;8,5  ;27,6  ;24,0  ;+   8,1;22,1  ;24,1 ;27,1 ;35,2 ;13,6;0,7;79,4;608,0 ;81,5  ;11,3  ;340,6;291,5 ;1,7    ;46,1    ;15,4    ;36,8    ;11,2  ;11,4;
NI;027;Cloppenburg – Vechta;23;2 230,1;216,9;263,0 ;131,3;249,1;118;21,4  ;4,1  ;9,2  ;17,6  ;30,5  ;17,2  ;14,4  ;8,2  ;35,4  ;29,3  ;+  12,3;23,9  ;25,8 ;24,8 ;33,7 ;15,7;0,8;87,6;626,3 ;80,7  ;12,2  ;314,6;295,8 ;3,9    ;52,0    ;16,7    ;27,4    ;11,6  ;12,2;
NI;028;Diepholz;47;1 987,4;183,4;205,5 ;101,7;193,6;103;17,0  ;3,1  ;7,1  ;16,1  ;35,2  ;21,5  ;10,6  ;10,8  ;47,0  ;38,0  ;+   8,7;21,1  ;28,2 ;23,7 ;26,0 ;22,1;0,7;45,1;691,4 ;80,9  ;9,6  ;382,0;243,1 ;1,9    ;37,5    ;26,0    ;34,6    ;9,3  ;9,8;
NI;029;Verden – Osterholz;23;1 438,3;207,4;235,4 ;116,1;221,7;164;17,2  ;3,2  ;7,1  ;16,1  ;36,6  ;19,7  ;10,6  ;10,6  ;47,2  ;40,1  ;+   7,2;13,7  ;30,1 ;24,7 ;23,1 ;22,1;0,4;45,5;660,4 ;83,6  ;7,5  ;388,7;242,0 ;1,9    ;38,9    ;23,8    ;35,4    ;9,9  ;10,1;
NI;030;Soltau-Fallingbostel – Rotenburg II;45;2 724,3;184,9;206,8 ;102,7;195,5;76;17,2  ;3,3  ;7,8  ;16,4  ;33,0  ;22,3  ;10,9  ;10,6  ;43,3  ;34,2  ;+   9,4;13,1  ;26,7 ;20,2 ;20,0 ;33,1;0,4;69,8;643,5 ;83,3  ;10,4  ;422,0;274,2 ;2,4    ;35,7    ;16,8    ;45,0    ;10,6  ;11,1;
NI;031;Lüneburg – Lüchow-Dannenberg;70;2 541,7;178,4;209,7 ;102,1;199,1;83;16,1  ;3,0  ;7,7  ;17,0  ;33,8  ;22,4  ;10,5  ;11,4  ;51,3  ;40,1  ;+  10,3;12,2  ;31,0 ;17,4 ;16,9 ;34,6;0,6;61,0;620,1 ;83,1  ;9,0  ;423,2;271,2 ;2,2    ;37,7    ;17,8    ;42,3    ;12,4  ;13,9;
NI;032;Osnabrück-Land;29;1 916,0;210,3;249,9 ;124,3;236,3;130;19,6  ;3,8  ;8,3  ;16,7  ;32,5  ;19,2  ;12,0  ;9,4  ;143,6  ;141,1  ;+   5,1;16,7  ;31,3 ;28,6 ;28,7 ;11,4;0,7;98,4;634,8 ;83,3  ;12,9  ;357,5;274,6 ;2,0    ;52,8    ;16,7    ;28,5    ;9,9  ;9,9;
NI;033;Stadt Osnabrück;6;325,3;234,2;262,0 ;125,6;241,5;805;13,7  ;2,7  ;9,6  ;19,3  ;32,2  ;22,4  ;10,2  ;10,9  ;58,5  ;65,5  ;-   7,7;1,2  ;51,5 ;13,0 ;22,0 ;13,5;0,6;95,3;524,3 ;87,8  ;7,1  ;466,9;380,8 ;0,4    ;33,8    ;26,2    ;39,6    ;11,6  ;11,6;
NI;034;Nienburg – Schaumburg;74;2 074,2;262,4;288,1 ;140,7;268,4;139;16,6  ;3,2  ;7,2  ;16,0  ;33,7  ;23,3  ;10,4  ;12,3  ;44,7  ;37,2  ;+   5,7;14,6  ;30,3 ;24,9 ;24,2 ;20,6;0,7;69,6;691,0 ;84,3  ;9,4  ;404,0;249,5 ;1,5    ;45,5    ;16,8    ;36,2    ;10,6  ;11,6;
NI;035;Harburg;42;1 244,5;188,7;219,4 ;108,2;208,6;176;16,1  ;3,0  ;6,6  ;16,4  ;37,9  ;19,9  ;10,8  ;9,4  ;54,3  ;39,9  ;+  15,8;8,5  ;34,9 ;21,8 ;16,7 ;26,6;0,3;20,0;687,0 ;85,6  ;11,2  ;421,5;190,3 ;2,5    ;32,7    ;28,1    ;36,7    ;8,5  ;9,1;
NI;036;Stadt Hannover I;1;112,7;242,1;255,7 ;121,1;217,8;2 268;12,6  ;2,4  ;8,2  ;19,7  ;33,4  ;23,6  ;9,7  ;12,2  ;58,6  ;57,2  ;-   1,1;0,1  ;52,2 ;16,4 ;14,9 ;16,4;0,5;110,9;466,2 ;88,5  ;4,6  ;526,3;535,2 ;0,2    ;27,1    ;19,8    ;52,9    ;14,7  ;16,1;
