© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strukturdaten für die Wahlkreise zum 15. Deutschen Bundestag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wkr-Nr;Land;Wahlkreisnamen;Bemerkungen;Gemeinden am 30.12.2001;Fläche am 31.12.1999 (in km2);Bevölkerung am 31.12.1999 (in 1000);;;Bevölkerungsdichte am 31.12.1999 (Einwohner je km2);Bevölkerung im Alter von ... bis unter ... Jahren am 31.12.1999 (in %);;;;;;Bevölkerungsbewegung 1999 (je 1000 Einwohner);;;;;Landwirtschaft 1999;;Bergbau- und verarb. Gewerbe am 30.09.1999;;Bautätigkeit und Wohnungswesen (je 1000 Einwohner);;Kfz-Bestand am 31.07.2000 (je 1000 Einwohner);Schulabgänger nach Abschlussarten 1999;;;;;Arbeitslosenquote Ende Dezember;;Sozialversicherungspflichtig Beschäftigte am 31.12.2000;;;;
;;;;;;insgesamt;männlich;Deutsche;;unter 15;15 - 18;18 - 25;25 - 35;35 - 60;60 und mehr;Lebendgeborene;Gestorbene;Zuzüge;Fortzüge;Zu- bzw. Abnahme (-);Betriebe (je 1000 Einwohner);landwirtschaftlich genutzte Fläche (LF) (ha je Betrieb);Betriebe (je 1000 Einwohner);Beschäftigte (je 1000 Einwohner);Fertiggestellte Wohnungen 1999;Bestand an Wohnungen am 31.12.1999;;insgesamt (je 1000 Einwohner);ohne Hauptschulabschluss (in %);mit Hauptschulabschluss (in %);mit Realschulabschluss (in %);mit allgemeiner Hochschulreife (in %);2000;2001;insgesamt (je 1000 Einwohner);"Land- und Forstwirtschaft; Fischerei (in %)";Produzierendes Gewerbe (in %);"Handel u. Verkehr; Nachrichtenübermittlung (in %)";übrige Dienstleistungen (in %)
131;NW;Warendorf;;13;1316,4;278,5;136,9;255,2;212;18,5;3,7;8,3;14,7;33,5;21,3;11;9,1;30,8;26,8;5,9;11,3;28,5;0,8;112,5;8;390;632,8;12,3;5;27,7;43,1;22,9;6,9;7,5;292,6;1,7;50,3;17,7;30,3
132;NW;Gütersloh;;12;931,9;331,3;162,9;300,8;355;18,7;3,5;7,9;15,2;33,7;20,9;11,6;9;35;29,3;8,3;8,6;19;1;151,3;7,1;400,7;675,5;11,3;5,3;26,4;47,2;19,8;7;8,1;402,8;0,9;52,3;19,7;27,1
133;NW;Bielefeld;;2;293;332,7;158,4;289,9;1136;15,2;3;7,9;15,7;32,9;25,3;10,2;11,6;41,3;42,1;-2,2;1;22,3;0,7;93,7;2,7;466,8;570,6;11,1;6,1;24,5;41,5;25,7;11,4;12,4;409,3;0,4;32,8;22,7;44,1
134;NW;Herford - Minden-Lübbecke II;;10;514,7;303,8;145,7;281,1;590;17;3,3;7,3;14;33,4;25,1;10,1;11;33,5;29,5;3;4,3;20,2;1,2;129,8;6,1;427,3;678,6;11,9;5;20,2;45,8;26,8;7,3;8,3;371,7;0,6;46,4;19,8;33,2
135;NW;Minden-Lübbecke I;;10;1087,4;272,2;132,8;257,1;250;17,5;3,5;7,5;14,1;32,9;24,5;10,3;11,3;38,3;34,6;2,6;10,1;20,9;0,8;97,4;6,1;389,5;685,1;11,7;6,9;26,7;41,2;23,6;8,1;8,7;331,9;0,7;44,6;21;33,8
136;NW;Lippe I;;10;759,9;231,9;112,1;217,1;305;17,8;3,5;7,5;13,9;32,8;24,5;10,2;11,2;33,2;31,3;1;4;38,1;0,8;93,2;4,6;422,5;644,2;11,1;6,2;24,6;46,1;21,9;8,7;10,2;285;1,1;50,7;17,4;30,7
137;NW;Höxter - Lippe II;;16;1686,1;288,6;140,4;269,9;171;18,2;3,7;8,2;14;32,5;23,4;10,2;9,9;31,3;28,1;3,5;13,8;30,6;0,7;68,8;6,5;386,8;645;13,7;4;26,6;41,9;26,4;8,4;9,4;286,2;1;38,3;19,4;41,3
138;NW;Paderborn;;10;1245,3;288,1;142;266,9;231;18,9;3,7;8,8;16;33,2;19,3;11,5;8,3;33,7;27,8;9,1;8,9;24,3;0,7;96,1;12,5;407,8;623,2;13,1;6,3;27,3;42,6;21,6;8,7;9,4;342,6;0,9;39,9;19,6;39,7
139;NW;Hagen - Ennepe-Ruhr-Kreis I;;5;323,3;312,5;149,9;271,7;967;15,8;3,1;7,2;13,9;34,1;26;9,4;11,5;29,2;36,9;-9,7;0,5;18,9;0,8;88,4;2,3;498,6;552,5;12,3;6,6;23,1;38,8;27,2;10,8;11;342,5;0,4;42,2;22,1;35,3
140;NW;Ennepe-Ruhr-Kreis II;;5;245,4;244,1;117,3;224;995;15,1;3;6,8;14,1;35,7;25,2;8,8;11,8;37,5;32,4;2,1;1,8;19,4;0,9;104,3;4,2;463,6;620;9,8;4,7;23,7;43,2;26,8;9,2;8,9;278;0,7;44,6;18;36,7
141;NW;Bochum I;Erläuterungen siehe Vorbemerkungen;1;94,8;279,8;134,8;259,9;2951;13,4;2,8;7,2;15,7;35,7;25,2;8,5;11,7;36,2;34;-1;0,2;27,4;0,4;95,1;2,5;480,5;539,8;10,1;5,7;21,5;38,4;30;11,9;11,5;351,3;0,3;35,3;19,6;44,7
142;NW;Herne - Bochum II;Erläuterungen siehe Vorbemerkungen;1;102;288,7;141,2;235,8;2830;14,7;3;7,3;14,8;34,9;25,4;8,4;12,6;30,8;32,5;-6;0,2;14,7;0,3;106,1;3,1;474,6;498,5;10,3;7,1;21,8;41,7;24,2;14,8;15,2;266,8;0,3;28,6;20,7;50,5
143;NW;Dortmund I;Erläuterungen siehe Vorbemerkungen;1;126,1;286,1;138,1;245;2269;14,7;2,9;7,4;14,8;35;25,1;9,2;11,6;34,1;34,3;-2,6;0,3;30,7;0,4;47,2;4,2;502,9;531,6;10;7;23,1;40,9;25,9;14,8;14,7;337,8;0,5;25,9;23,2;50,4
144;NW;Dortmund II;Erläuterungen siehe Vorbemerkungen;1;154,2;304,1;148,8;248,9;1972;14,7;2,9;7,4;14,8;35;25,1;9,2;11,6;34,1;34,3;-2,6;0,3;30,7;0,4;47,2;4,2;502,9;531,6;10;7;23,1;40,9;25,9;14,8;14,7;337,8;0,5;25,9;23,2;50,4
145;NW;Unna I;;7;347,1;280,5;137,1;254,7;808;16,8;3,4;7,7;14,2;35,4;22,6;9,7;10,2;90,2;85,2;4,5;1,8;34,1;0,5;61,3;5;417,4;577,8;10,4;6;22,3;42,7;26,9;11,2;11,3;249,1;0,7;35,8;29,7;33,8
146;NW;Hamm - Unna II;;4;421,8;331,5;161,9;293,8;786;17,1;3,2;8,2;14,6;33,9;23;10,7;10;48;42,7;6;2,3;27,1;0,4;80,7;5,6;435,7;556,8;11,5;7,6;25,4;41,4;23,8;12,7;13,1;258,4;1,3;37,1;21,4;40,3
147;NW;Soest;;14;1327,5;306,1;150;282,6;231;17,7;3,5;7,8;14,8;33,8;22,4;10,1;10,6;31,4;25,6;5,3;7,4;33,8;0,7;104,9;6,6;403,8;635,5;12,3;5,7;23,3;40,8;28;8;9,1;315,3;1;45,9;19,3;33,8
148;NW;Hochsauerlandkreis;;12;1958,6;283,1;139,5;260,9;145;17,8;3,5;7,9;14,5;32,6;23,6;10,3;10,4;27,5;29,8;-2,4;8,1;23,1;1,1;112,6;7,2;416,5;641,9;12,6;6,9;22,1;47,6;21,8;6,6;7,7;322,3;0,7;51,8;15,1;32,4
149;NW;Siegen-Wittgenstein;;11;1131,5;297,2;146,4;270,7;263;16,8;3,5;7,9;14,4;34,1;23,2;9,4;10,1;26,6;28,2;-2,2;4,1;12,9;1,1;125,1;4,2;417,4;651,9;13,4;4,8;20,4;43,1;28,6;7,1;7,6;352,9;0,3;46,1;20,3;33,2
150;NW;Olpe - Märkischer Kreis I;;13;1158,7;299,4;148;264,6;258;18,5;3,7;8,2;15,4;33,2;21;10,9;9,8;27,4;23,7;4,8;6,4;16,9;1,4;155,4;7,7;379,9;641,1;13,2;5,8;30;39,9;21,9;6,4;7;362,8;0,4;59,6;15;25
151;NW;Märkischer Kreis II;;9;611;301,1;147,1;262,2;493;17,4;3,4;7,5;14,4;34,3;22,9;9,9;10,8;29,1;29,5;-1,3;2,2;25,4;1,5;157;3,4;429,9;611,9;11;8,5;25,5;43,2;21;7,9;8,6;320,3;0,5;57,9;15,2;26,5
;NW;Land insgesamt;;396;34080;17999,8;8749,8;15955,2;528;16,3;3,2;7,5;14,9;34,9;23,3;9,8;10,5;38,9;36,9;1,3;3,1;26,6;0,6;83,5;5;448,6;596,8;10,8;5,9;23;41,8;26,9;9,5;9,9;332,4;0,7;36,1;21,7;41,5
152;SN;Delitzsch - Torgau-Oschatz - Riesa;;46;2256,9;290,2;142,4;283,8;129;14,1;4,6;8,9;13,2;36,2;23;6,8;10,1;30,1;30,7;-3,8;2,5;223,7;0,6;44,8;6,8;453,3;604,3;14;12,8;13,3;49,7;24,2;19,5;19,2;310,4;3,9;34,1;21,9;40,1
153;SN;Leipzig I;Erläuterungen siehe Vorbemerkungen;1;170,9;239,2;115,7;230,4;1400;11,6;3,4;8,7;14,9;36;25,3;7,3;11,1;42,9;42,3;-3,1;0,2;135,2;0,3;25,2;10,6;633,9;433,7;11,7;13,3;10,7;39,4;36,5;18,1;19,1;420;0,4;21,2;19,8;58,7
154;SN;Leipzig II;Erläuterungen siehe Vorbemerkungen;1;126,6;254,6;122,3;238,2;2011;11,6;3,4;8,7;14,9;36;25,3;7,3;11,1;42,9;42,3;-3,1;0,2;135,2;0,3;25,2;10,6;633,9;433,7;11,7;13,3;10,7;39,4;36,5;18,1;19,1;420;0,4;21,2;19,8;58,7
155;SN;Leipziger-Land - Muldentalkreis;;48;1644,5;291,2;142,5;286,4;177;13,6;4,2;8,4;13;37;23,7;6,8;11,2;39;32,7;1,9;2,2;144,9;0,6;37,9;9,7;463,3;634,5;11,8;13,1;12,9;48,3;25,7;19,8;19,5;264,1;3,4;37,1;21,3;38,3
156;SN;Kamenz - Hoyerswerda - Großenhain;;54;2018,3;274,3;134,8;270,2;136;14;4,6;9,1;12,5;35,9;23,9;6,9;10,2;25,3;31,1;-9,1;2,3;131,9;0,7;59,2;4,4;463,3;607,2;15,1;12,8;12,3;52,4;22,5;19,7;20,3;304,9;3,2;39,9;19,7;37,2
157;SN;Löbau-Zittau - Görlitz - Niesky;;51;1281;264;127,4;259,7;206;13,2;4,3;8,5;11,9;35;27,1;6,7;12,2;19,7;27,5;-13,3;1,7;110,7;0,5;41;4,3;523,6;556,3;14,7;11,5;12,1;49,8;26,5;22,7;24,4;280;3,1;32,4;17,7;46,9
158;SN;Bautzen - Weißwasser;;48;1780,4;223,5;110,1;219,3;126;14,2;4,8;9,4;12,2;35,8;23,6;7;10;21;30,4;-12,4;2,1;169,4;0,6;45,1;4,3;447,5;614,7;15,8;11;13,8;51,6;23,6;21,3;21,9;296,9;3,4;37,5;18,5;40,6
159;SN;Sächsische Schweiz - Weißeritzkreis;;45;1653,5;274;134,1;269,5;166;13,5;4,1;8,8;12,7;35,9;25;7,2;11,1;32,7;30,1;-1,3;2,6;109;0,6;41;6,6;473,6;615,9;13,1;10,5;13,3;52,5;23,7;17,6;19;276,3;5,2;36,6;17,1;41,1
160;SN;Dresden I;Erläuterungen siehe Vorbemerkungen;1;81,4;269;127,7;259,7;3305;12,4;3,7;9,5;15;34,9;24,6;8;10,2;40,6;42;-3,5;0,3;29,2;0,4;42,9;7,9;595,4;495,9;12,9;9,3;10,3;47,5;32,9;15,5;15,9;458,9;0,8;23,6;19;56,6
161;SN;Dresden II - Meißen I;Erläuterungen siehe Vorbemerkungen;7;453,4;294,8;144,4;284;650;13,3;4,2;8,7;12,4;35,8;25,6;7,1;10,7;37,5;33,8;0;2,2;116,6;0,7;65,8;6,8;472,4;592;13,1;10,2;10,8;52;27;17;17,3;300,8;3,9;42;16,6;37,5
162;SN;Freiberg - Mittlerer Erzgebirgskreis;;53;1508,8;249,9;121,8;245,7;166;13,9;4,3;9,1;12,5;35;25,2;7,1;11;24,1;27,7;-7,5;2,8;115,1;0,8;52,7;3,1;462,6;618,7;14,5;11,6;12,6;52,4;23,4;18,3;19,4;282,7;4,3;40,8;16,4;38,5
163;SN;Döbeln - Mittweida - Meißen II;;50;1622,3;285,3;138;281,7;176;12,9;4,1;8,5;12,5;35,5;26,4;6,6;12,1;24,9;26,4;-7;3,2;121,1;0,9;55,7;3,8;485,8;629,7;13,7;11,1;13;51,1;24,8;19,2;19,7;297,8;3,7;39,5;21,2;35,6
164;SN;Chemnitz;;1;220,9;263,2;125,1;253,5;1192;11,3;3,5;8,5;12,5;37,1;27;6,7;12,1;24,6;38,4;-19,2;0,4;69,1;0,6;50;6;624,3;557,2;13,4;13,5;10;45,6;30,8;17,4;18,1;446,4;0,7;25,4;20,8;53,1
165;SN;Chemnitzer Land - Stollberg;;30;602;237,1;113,9;234;394;12,7;4;8,1;12,2;36,1;26,9;6,7;12,3;29,6;28,8;-4,8;2;67;0,7;53;6,4;502,2;612,7;12,8;9,8;8,5;54,2;27,6;17,1;18,6;286,9;2,7;42;19,3;36
166;SN;Annaberg - Aue-Schwarzenberg;;39;966,4;232;111,9;229,5;240;13,2;4,2;9;11,7;36,2;25,8;7,1;12,6;17,5;22,7;-10,7;2,2;48,7;0,8;58,9;4,9;497,8;597,4;13,9;10;13,4;55,3;21,3;20,1;20,5;292,1;2,5;42;17;38,4
167;SN;Zwickauer Land - Zwickau;;18;613,6;240,6;114,9;236,8;392;12,7;3,8;8,1;12,3;36,5;26,6;6,8;12,6;27,6;31;-9,2;1,9;77,2;0,5;70,4;4,6;556,4;595,5;12,2;16,1;9,9;47;27;19,3;20,1;358,2;1,4;35,6;20,5;42,5
168;SN;Vogtland - Plauen;;48;1411,9;276,6;131,7;272,4;196;12,4;3,8;7,9;12,2;36,4;27,4;6,7;13,6;21,9;23,8;-8,7;2,8;73,5;0,8;64,6;3,9;537,6;632,8;12,2;13,5;13,5;47;26,1;16,3;16,9;312,8;2,4;40,3;17,7;39,6
;SN;Land insgesamt;;539;18412,9;4459,7;2158,7;4354,7;242;13;4;8,7;13;35,9;25,3;7;11,3;30;32,4;-6,7;1,8;115,1;0,6;48,4;6,3;522,7;575,4;13,3;11,9;11,9;49,2;27;18,5;19,2;336,5;2,3;32,4;19,3;46
169;HE;Waldeck;;29;2166,6;252,7;123,4;240;117;16,3;3,3;7,2;14;34,9;24,3;9,2;10,7;39;34,9;2,5;11;26,6;0,5;98;6,4;430,9;695,1;9,7;10,3;25,9;49,1;14,1;8,7;8,7;309,1;0,9;47,9;13,7;37,5
170;HE;Kassel;;12;357,5;298,4;142,7;266,8;835;13,8;2,7;8,2;15,9;34,5;24,9;9,6;11,9;57,6;64,7;-9,5;0,2;18,7;0,5;82,3;3,6;512,3;507,8;12,2;10,9;20,6;32,5;35,4;15,5;15,8;378,8;0,5;24,8;25,3;49,4
171;HE;Werra-Meißner - Hersfeld;;36;2121,7;246,2;120,2;235,1;116;15,4;3,4;7,2;13,6;33,8;26,6;8,7;12,6;30,3;31,9;-5,5;12;25,6;0,7;77,2;4,3;435,6;695,5;10,8;8,5;26,6;43,4;20,4;11,2;10,3;291,8;1,2;40,4;21,3;37,1
172;HE;Schwalm-Eder;;38;2262,5;254,8;126,2;243,9;113;16,4;3,4;7,6;14,1;34,4;24,1;9,2;11,3;31,5;30,5;-1,2;12,7;28,1;0,6;59,9;3,8;397,6;716,5;11,6;8,5;24,8;42,6;22,7;9,4;9,3;249,3;1;42,8;20,2;36,1
173;HE;Marburg;;22;1262,5;253,6;124,6;228,6;201;15,8;3,2;9,5;16,4;34,2;20,9;9,7;9;39,6;38;2,4;8,8;22;0,6;95,3;5,3;394,3;614,4;11,1;6,9;26,1;38,3;27,8;7,1;7,4;301,7;0,7;38,7;14,5;46,1
174;HE;Lahn-Dill;;25;1153,4;285,6;140,1;260,9;248;17;3,4;7,6;14,4;34,1;23,5;9,8;10,7;27,6;26,2;0,5;3,7;22;1;119,7;5,4;413,3;670,5;12;8,9;26,9;47,9;15,4;7,9;8;304,4;0,7;49,3;18,4;31,7
175;HE;Gießen;;27;1586,6;300,1;146,9;275,3;189;16;3,2;8,1;15,1;34,7;22,9;9,3;9,8;37,6;35,4;1,6;9,2;28,5;0,6;61,5;5,6;433,9;676,6;11,5;9,9;21,3;41,4;26,2;8,4;8,9;330,5;0,6;30,2;24,9;44,2
176;HE;Fulda;;35;2437,1;310,5;152,8;292,6;127;17,9;3,5;7,7;15,1;32,9;22,8;10,7;9,6;25;24,3;1,8;13,8;21,3;0,8;89,1;6,4;426;696,3;12,2;9,3;26,7;41;21,5;7,6;7,5;314,4;0,8;42,6;20,7;35,9
177;HE;Hochtaunus;;19;812,6;245,3;118,8;218,7;302;15,1;2,8;6,6;14,3;37,5;23,6;9,5;10;58,1;53,1;4,4;1,8;27,9;0,5;58,5;5,9;464,2;701,4;9,7;7,7;15,8;35,7;40,2;4,9;4,8;309,3;0,5;28,3;21,2;50
178;HE;Wetterau;;28;1240,9;323,5;158,9;295;261;16,5;3,1;7,1;15;36,2;22,1;10,1;9,7;45,2;37,8;7,7;5,3;33;0,5;48,6;4,9;407,5;670,9;9,9;9,8;21,9;36,9;30,1;6,3;6,5;256,8;0,9;34,1;22,2;42,7
179;HE;Rheingau-Taunus - Limburg;;27;1171,2;294,7;145,3;264,5;252;16,4;3,3;7,3;14,7;36,3;22;10,2;9,8;45;39,8;5,5;5,6;24,6;0,5;45;5,8;417,6;687,8;10,3;10,9;27,2;39,9;21,1;5,9;6,1;238,4;1,3;33;21;44,7
180;HE;Wiesbaden;;1;203,9;268,7;129;217;1318;14;2,6;7,4;16,5;35,6;23,9;10,1;11,5;58,5;51,3;5,7;0,9;19,9;0,3;53,9;4,9;499,8;767,8;10,9;10,4;21,3;29,7;36,1;8;8,4;460,6;0,4;20;19,3;60,3
181;HE;Hanau;;22;840,6;329,1;161,3;292;391;16,2;3,1;7,4;14,9;36,3;22,1;9,8;9,7;36,5;32,3;4,3;4,5;24,7;0,5;75;3,9;436,4;658,3;10,8;10;24,2;42,6;23;7,1;7,1;286,3;0,7;39,1;24,1;36
182;HE;Main-Taunus;;15;270,5;261,5;127;229;967;15;2,7;6,7;15,4;37,8;22,4;10,3;8,5;64,1;57,7;8,3;1,5;21,1;0,4;49,1;9,1;457,5;711,2;8;10,3;19,6;40,2;28,5;4,5;4,3;374,2;0,6;22,9;28,9;47,6
183;HE;Frankfurt am Main I;Erläuterungen siehe Vorbemerkungen;1;85,7;297,8;314,4;235;3473;12,5;2,4;7,2;18;37,8;22,1;9,6;10,1;71,2;70,7;-0,1;0,3;21,4;0,3;83,3;4,2;525,3;555,5;8,7;11,2;20,6;33,6;31,9;7,5;7,7;763;0,2;14,8;25,5;59,5
184;HE;Frankfurt am Main II;Erläuterungen siehe Vorbemerkungen;1;162,6;346;314,4;253,4;2128;12,5;2,4;7,2;18;37,8;22,1;9,6;10,1;71,2;70,7;-0,1;0,3;21,4;0,3;83,3;4,2;525,3;555,5;8,7;11,2;20,6;33,6;31,9;7,5;7,7;763;0,2;14,8;25,5;59,5
185;HE;Groß-Gerau;;14;453,1;248,2;123,7;202,3;548;15,8;3,1;7,8;15,7;36,5;21,2;10;8,9;50,6;48,9;2,8;1,9;37,2;0,4;143,3;5,3;435,3;709,9;9,8;8,3;20,4;46,9;22,4;5,8;6,2;376,6;0,4;43,3;26,7;29,5
186;HE;Offenbach;;9;241,4;338,6;166,6;274,1;1403;15,2;2,9;7,4;15,7;37,2;21,7;10,1;9,1;57,4;52,7;5,7;0,5;26;0,6;74,5;3,6;464,2;635,5;9,5;10,9;23,6;37,4;26,4;6,9;7,2;383,8;0,4;29,8;29,5;40,3
187;HE;Darmstadt;;15;449,3;317,3;156,5;277;706;15,5;2,9;7,5;16;36,9;21,2;10,1;9,5;58,8;53,4;6;2,1;31,4;0,5;85,4;5,1;451,9;649,2;11,1;8,7;20;38;31,2;6,3;6,3;401,1;0,4;32,5;19,5;47,7
188;HE;Odenwald;;29;1115,1;316,7;157,3;283,3;284;17,3;3,5;7,5;13,6;34,9;23,2;9,3;10,9;34,1;32,9;-0,4;8,3;21,4;0,7;86,7;7,1;411,5;694,3;11;8,7;28,5;44;18,7;6,6;6,4;240,7;0,9;44,2;22,4;32,5
189;HE;Bergstraße;;22;719,6;262,6;128,9;237;365;16,1;3,1;7,1;14,4;36,5;22,9;9,6;10,4;40;33,8;5,4;3,9;23,8;0,6;54,4;6,1;426;706,8;10,7;8,1;21,6;39,5;29,8;6,7;6,6;240,7;0,7;39,9;23,4;36
;HE;Land insgesamt;;426;21114,4;6052;2964,7;5321,5;287;15,5;3;7,5;15,4;35,9;22,7;9,7;10,1;47,5;44,4;2,8;4,9;25,8;0,5;77;5,1;447,7;662,8;10,4;9,6;23,1;39,8;26,2;7,5;7,6;365,7;0,6;30,5;23;46
190;TH;Eichsfeld - Nordhausen;;130;1650,7;214,1;105,5;210,7;130;14,9;4,7;9,4;13,3;35,6;22;7,3;10,2;18,2;21,9;-6,6;2,8;143,2;0,7;48,6;5,6;421,6;596,7;15,6;12,4;17,7;44,6;25,3;17,1;17,3;298,5;2,3;37,9;18,6;41,2
191;TH;Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis I;;82;1763,8;229,8;113,3;226,4;130;13,5;4,3;8,8;13,2;36,5;23,7;6,7;11,4;26,1;26;-4,5;2,9;101,6;0,7;85,3;4,7;456,3;614,1;13,9;12,6;18,5;46,6;22,4;13,4;13,3;326,7;3,5;43,7;16,6;36,2
192;TH;Kyffhäuserkreis - Sömmerda - Unstrut-Hainich-Kreis II;;139;2459,6;258,2;127,1;254,1;105;14,1;4,4;9;13,1;36,4;22,9;7,2;11;28,9;29,4;-4,3;3,1;211,8;0,6;39,8;5,1;441,3;586,4;15,5;13,4;18,6;40,5;27,4;18,9;19,8;275,9;4,8;35,9;17,2;42,1
193;TH;Gotha - Ilm-Kreis;;109;1779;272;133,2;267;153;13,4;4,2;8,6;13,3;37;23,5;7,2;11,2;27;24,3;-1,2;1,3;219,4;0,8;60,2;5,5;471,1;586,5;14;12,4;19,5;40,5;27,6;16;16,7;309;2,7;37,5;21,6;38,2
194;TH;Erfurt;;1;269,1;201,3;96,9;196,9;748;13,1;3,8;9,2;14,1;37,4;22,3;7,7;10,1;32,4;38,4;-8,3;0,5;144,9;0,4;33,3;6;551;525,5;14,5;13,9;13,8;35,6;36,7;16,6;17,6;529,8;1,4;21,3;21;56,3
195;TH;Jena - Weimar - Weimarer Land;;81;1001,8;254,2;124,1;246,9;254;13,5;4,2;10;14,8;36,1;21,5;7,7;9,8;52,5;46,5;3,8;1,2;191,4;0,5;38,4;7,7;488;543,2;13,8;13,4;16,3;33,5;36,8;14,6;14,9;373,5;1,5;26,9;16,1;55,5
196;TH;Gera - Saale-Holzland-Kreis;;97;968,9;208,4;101,5;205,8;215;13;4,3;8,8;12,8;37,8;23,3;6,7;10,3;28,8;34,1;-9;1,7;136,4;0,6;37,2;7;508,4;580,8;14,4;13,4;17,9;40;28,7;16,3;16,9;335,8;2,2;27,7;21,5;48,7
197;TH;Greiz - Altenburger Land;;106;1412,5;240,8;116,8;237,9;171;12,7;4,1;8,4;12,4;36,7;25,7;6,3;11,6;21,1;25,9;-10,1;2,8;130,3;0,7;46,3;4,1;504,2;617,6;13,6;12,5;19,7;41,8;26;19,3;19,7;273,5;5;39,5;20,3;35,2
198;TH;Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis;;151;2616,2;302,4;147,1;297,5;116;13,1;4,2;8,4;12,7;36,3;25,3;6,6;11,3;18,9;23;-8,8;2,4;130,3;0,9;71,2;4;463,7;630,6;14,4;13,3;18,5;44,2;24;15;15;300,7;3,5;44,2;16,5;35,9
199;TH;Suhl - Schmalkalden-Meiningen - Hildburghausen;;121;2250,2;267,9;131,4;264,2;119;13,4;4,5;8,8;12,9;37,1;23,3;6;11,3;22,9;25,7;-8,1;1,9;159;0,8;57,6;4,1;452,5;637,1;15,1;13,7;20;42,2;24,1;14,2;14;326,1;2,8;39,2;16,5;41,5
;TH;Land insgesamt;;1017;16171,9;2449,1;1197;2407,4;151;13,5;4,3;8,9;13,3;36,7;23,4;6,9;10,9;27,6;29,3;-5,6;2,1;157,2;0,7;51,9;5,3;473,8;593,5;14,5;13,1;18,2;41;27,7;16,2;16,5;330,7;2,9;34,8;18,5;43,8
200;RP;Neuwied;;181;1268,7;321,4;157,6;300,3;253;17,5;3,4;7,3;13,7;34,1;24;9,5;10,5;44,6;39,5;4,2;4,4;23,6;0,9;86,9;6,1;415,6;666,4;10;9,2;35,3;38,9;16,6;7,2;8,1;281,7;0,7;46,6;20,1;32,7
201;RP;Ahrweiler;;131;1337,1;247,6;121,5;233,2;185;16,6;3,2;7,1;14;35;24,1;9,5;10,4;42;36,4;4,7;6,3;27,1;0,6;57,3;7,7;435,1;675,5;9,5;10,4;34,2;34,3;21;7,2;7,6;254,2;1,4;35,8;20,5;42,3
202;RP;Koblenz;;63;634,9;254,4;122,4;235,5;401;14,2;2,7;7,5;15,2;34,2;26,2;9,8;11,8;60,5;67,4;-8,9;0,9;20,5;0,3;61,6;3,1;509,2;626,8;12,8;8,5;19,5;31,5;40,4;7,4;8,6;364,5;0,5;24,4;23,3;51,9
203;RP;Mosel/Rhein-Hunsrück;;277;2297,2;228,3;112,4;219,9;99;16,9;3,5;7,7;13,7;33,6;24,6;9,6;10,8;36,4;33,5;1,7;21,9;15,5;0,6;69,1;5,7;430,6;736,8;11,2;8,4;34,4;40,1;17,2;7,5;7,5;266;1,3;39,5;18,7;40,4
204;RP;Kreuznach;;215;1640,3;247,2;120,4;231,2;151;16,3;3,3;7,3;13,5;34,6;25;9,2;11,4;36,3;34,7;-0,5;8,9;24,2;0,6;63,3;4,8;446,1;671,3;10,7;11,5;36,7;30;21,8;9,1;9,3;279,1;1,6;37;19,5;41,9
205;RP;Bitburg;;401;3100,6;216,6;107;207;70;17,8;3,6;7,6;13,5;32,7;24,9;9,8;10,9;34,5;34,3;-0,9;23,4;29,9;0,6;62,9;6,9;436,8;758,2;12,3;6,9;33,2;37,4;22,5;6,8;6,8;263,4;1,1;43,6;18,9;36,4
206;RP;Trier;;104;1208;237,2;114,8;222,6;196;15,5;3,2;8,3;15,8;33,9;23,3;9,2;10;53,2;47,5;4,8;11,4;13,7;0,5;56;4,9;443,3;645,8;11,3;6;28,1;38,8;27,1;8,3;8;310,8;0,8;31,2;20,4;47,6
207;RP;Montabaur;;297;1508,4;275,1;136,3;256,5;182;17,3;3,4;7,5;13,8;34,5;23,5;9,7;10,6;42,2;36,2;5,1;6,1;26,8;0,9;70,5;7,6;417,8;702,6;10,5;10,1;37,1;34,5;18,3;6,2;6,8;266,7;1;46,7;19,7;32,6
208;RP;Mainz;;42;524,2;321,3;157;276,9;613;15,3;2,9;7,7;16,6;36,3;21,2;9,9;9,2;63,5;68,2;-4;8;12,4;0,3;64,6;5,5;475,2;750,4;10,1;7,1;28,9;31,7;32,3;6,2;6,6;426,9;0,7;25,9;20,5;53
209;RP;Worms;;95;876,5;258,3;127,1;238,7;295;17,1;3,4;7,7;14,4;35,9;21,6;9,8;10,5;51,7;43,4;7,6;13,4;18,1;0,4;46,2;6,1;429,9;685,5;11,6;8,4;29,8;38,9;22,9;8,2;8,5;214,4;1,6;33,8;23,4;41,2
210;RP;Ludwigshafen/Frankenthal;;20;314,8;311,9;153,8;261,5;991;15,6;3;7,2;14,4;36,1;23,6;9;10,3;51,5;51,3;-1,2;1,8;32,5;0,4;174;4,4;465,4;610,9;9,2;11,4;33,8;34,8;20;7,6;7,7;398,4;1,3;54,9;14,6;29,3
