© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Strukturdaten für die Wahlkreise zum 15. Deutschen Bundestag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wkr-Nr;Land;Wahlkreisnamen;Bemerkungen;Gemeinden am 30.12.2001;Fläche am 31.12.1999 (in km2);Bevölkerung am 31.12.1999 (in 1000);;;Bevölkerungsdichte am 31.12.1999 (Einwohner je km2);Bevölkerung im Alter von ... bis unter ... Jahren am 31.12.1999 (in %);;;;;;Bevölkerungsbewegung 1999 (je 1000 Einwohner);;;;;Landwirtschaft 1999;;Bergbau- und verarb. Gewerbe am 30.09.1999;;Bautätigkeit und Wohnungswesen (je 1000 Einwohner);;Kfz-Bestand am 31.07.2000 (je 1000 Einwohner);Schulabgänger nach Abschlussarten 1999;;;;;Arbeitslosenquote Ende Dezember;;Sozialversicherungspflichtig Beschäftigte am 31.12.2000;;;;
;;;;;;insgesamt;männlich;Deutsche;;unter 15;15 - 18;18 - 25;25 - 35;35 - 60;60 und mehr;Lebendgeborene;Gestorbene;Zuzüge;Fortzüge;Zu- bzw. Abnahme (-);Betriebe (je 1000 Einwohner);landwirtschaftlich genutzte Fläche (LF) (ha je Betrieb);Betriebe (je 1000 Einwohner);Beschäftigte (je 1000 Einwohner);Fertiggestellte Wohnungen 1999;Bestand an Wohnungen am 31.12.1999;;insgesamt (je 1000 Einwohner);ohne Hauptschulabschluss (in %);mit Hauptschulabschluss (in %);mit Realschulabschluss (in %);mit allgemeiner Hochschulreife (in %);2000;2001;insgesamt (je 1000 Einwohner);"Land- und Forstwirtschaft; Fischerei (in %)";Produzierendes Gewerbe (in %);"Handel u. Verkehr; Nachrichtenübermittlung (in %)";übrige Dienstleistungen (in %)
23;HH;Hamburg-Wandsbek;Erläuterungen siehe Vorbemerkungen;1;77,2;286,5;137,3;251,3;3711;13,5;2,6;7,8;17,5;35,2;23,4;9,4;10,9;46,1;41,9;2,7;0,7;10,8;0,3;58,2;3,6;500,3;530,2;8,9;11,7;23,6;30,6;32,4;9,3;9,6;455,3;0,3;20,7;27,4;51,6
24;HH;Hamburg-Bergedorf - Harburg;Erläuterungen siehe Vorbemerkungen;1;315,4;308,3;151,5;261,5;978;13,5;2,6;7,8;17,5;35,2;23,4;9,4;10,9;46,1;41,9;2,7;0,7;10,8;0,3;58,2;3,6;500,3;530,2;8,9;11,7;23,6;30,6;32,4;9,3;9,6;455,3;0,3;20,7;27,4;51,6
;HH;Land insgesamt;;1;755,3;1704,7;824,7;1442,9;2257;13,5;2,6;7,8;17,5;35,2;23,4;9,4;10,9;46,1;41,9;2,7;0,7;10,8;0,3;58,2;3,6;500,3;530,2;8,9;11,7;23,6;30,6;32,4;9,3;9,6;455,3;0,3;20,7;27,4;51,6
25;NI;Aurich - Emden;;26;1399,7;237,2;116,1;227,5;169;18;3,4;7,8;14,8;33,4;22,7;11;10,2;36,3;32,1;5;10,4;36,4;0,4;76,2;10,2;452,2;608,3;11,7;9,8;22,6;46,3;18,8;14,2;13,5;288,9;1,3;37,7;20,9;40,1
26;NI;Unterems;;56;2596,5;296;146,8;282,4;114;18,8;3,5;7,7;14,8;33,2;21,9;11,4;9,8;36;27,4;10,2;13,4;32,6;0,4;29,3;7,4;406,3;635,7;11,5;12,6;30,9;41,6;12,7;12,7;12,4;241,2;1,6;40,2;23,6;34,6
27;NI;Friesland - Wilhelmshaven;;28;1366,8;244,1;119,9;233;179;16,4;3;7,4;14,1;34,4;24,6;9,7;11,3;45,9;44,4;0;9,5;40,3;0,4;36,3;7,4;499,5;629,7;10,8;12,2;25,4;40;19,7;13,8;13,3;261,2;0,9;26,8;19,5;52,7
28;NI;Oldenburg - Ammerland;;7;831,2;263,6;127,4;248,7;317;16;3;7,6;16,4;35,1;21,9;10,4;9,8;69,2;65,1;4,7;6,4;29,1;0,5;50,6;5,6;475;642,6;10,8;8,2;19,5;40,6;29,6;10,8;11,1;372,1;2;24,6;25,3;48,1
29;NI;Delmenhorst - Wesermarsch - Oldenburg-Land;;25;1947,2;290,3;143,4;272,5;149;17,6;3,2;6,9;14,5;35,7;22,2;10,8;9,8;44,5;40,8;4,7;10,5;42,8;0,5;64;7;434,5;655,1;10;8,5;23,8;49,6;15,9;10,2;10,4;243,5;1,7;38,5;22;37,8
30;NI;Cuxhaven - Osterholz;;46;2015,8;264,6;130,2;249,9;131;16,9;3,1;6,6;13,6;35,9;23,9;10,2;11,4;45,9;34,9;9,8;14,4;40,2;0,4;29,1;9,4;435,1;691,3;10,2;11,5;25;45,1;17,3;9,8;9,5;200;2,3;30,7;23,7;43,2
31;NI;Stade - Cuxhaven;;63;1973,3;239,5;118,7;228,1;121;17,9;3,4;7,4;14,5;35,9;20,9;10,6;9,5;43,6;36,9;7,8;11,6;37,5;0,4;50,7;9,7;435,1;686,2;11,7;10,2;25,1;47,8;15,1;7,7;7,4;244,9;2;35,4;26,3;36,3
