"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik[1612]",2.755511900325,2.75676795,0.0422948323310235,0.0414920436000001,2.682420205,2.8227444,1.00065633101963,4093.13293464823,3425.24885709335
"log_lik[1613]",2.993336667975,2.99433375,0.0118378673198396,0.0114781409400001,2.972227935,3.010659635,1.00037547224734,5098.86361392815,3487.5155064492
"log_lik[1614]",3.001373949225,3.00177425,0.00920507222032775,0.00893236848000008,2.98521869,3.015442635,1.00094043119659,5747.13356863478,3248.16763661926
"log_lik[1615]",2.9996795169,3.00017575,0.00981964686465079,0.00950687597999973,2.982337245,3.01442804,1.00082282005104,5518.34486928819,3333.66208343175
"log_lik[1616]",2.991212306075,2.9922999,0.0124404455844952,0.0120441976200001,2.968959495,3.009265245,1.00047563147088,5016.99208734607,3586.42906301178
"log_lik[1617]",3.00498040075,3.0051243,0.00772550796592803,0.00756859887000065,2.992346875,3.01731122,1.00204164118019,6798.05956739994,2889.80797585465
"log_lik[1618]",2.986172723325,2.98733555,0.0137644908750775,0.01346519559,2.96156377,3.00645769,1.00033469622083,4886.42843301128,3722.01911134058
"log_lik[1619]",3.001896235725,3.00233175,0.00897872418908846,0.00878507216999983,2.98669825,3.015899925,0.999817853794477,5846.51653569305,3178.26741114484
"log_lik[1620]",2.9975501478,2.99828045,0.010504602586712,0.00995580726000013,2.979157715,3.01338488,0.999793320769086,5284.29642841616,3476.11290248253
"log_lik[1621]",2.893030373925,2.89417085,0.0288285544163822,0.0283836356999998,2.842449575,2.93828064,1.00059421716181,4162.83620217332,3564.2690666343
"log_lik[1622]",2.60467179025,2.6057194,0.0533882910050808,0.0522472687799998,2.51247501,2.68991366,1.00092462383721,4082.06110941886,3303.95583427681
"log_lik[1623]",2.76452534265,2.76576495,0.0415425187616584,0.04078061799,2.69275483,2.830627545,1.00061799920707,4094.87521026877,3394.07642368854
"log_lik[1624]",2.99902666415,2.99962865,0.0100462793854906,0.00974698304999984,2.981292205,3.014017465,1.00073606857343,5458.74593527507,3454.90340839324
"log_lik[1625]",3.001508843925,3.00196185,0.00912489381710037,0.00890241995999971,2.98612305,3.01563911,0.999799321143287,5774.46624409455,3204.71627586028
"log_lik[1626]",2.9933403785,2.99433675,0.0118367888137492,0.0114769548600001,2.97223288,3.010661215,1.00037227499425,5099.34143892048,3487.5155064492
"log_lik[1627]",2.999114982325,2.9997134,0.0100159235651529,0.00969916919999974,2.98142569,3.01408331,1.00077240893157,5467.39657953944,3424.2002578611
"log_lik[1628]",3.000827225925,3.0013448,0.00937667495790495,0.00900909302999994,2.98476555,3.015255825,0.999818851886921,5666.82746535516,3241.93210274426
"log_lik[1629]",2.9641982334,2.96574945,0.0184585708730852,0.0181792705499996,2.931330225,2.992235045,1.00033892886048,4542.71276405957,3689.92020998436
"log_lik[1630]",3.004795292075,3.0050101,0.00780370061911706,0.00773427942000011,2.99214076,3.01720925,1.0017831612693,6742.90538966506,2822.78594843727
"log_lik[1631]",2.7654457407,2.7680651,0.0464747370816619,0.0461551912500004,2.68449375,2.83845522,1.00146238013525,4109.47136626132,3738.64324554819
"log_lik[1632]",0.933514677565,0.9348881,0.137946149796307,0.13818358323,0.7024741945,1.16003119,1.00149905094889,4168.6181972536,3738.3796343815
"log_lik[1633]",-12.57163351125,-12.5657095,0.434906909587457,0.4362291045,-13.28264395,-11.85648025,1.00085882527262,4881.99848554581,3587.27002707808
"log_lik[1634]",2.876086985525,2.8785675,0.0344827872932529,0.0338514645,2.814850015,2.928658335,1.00156992877204,4165.85096135304,3690.77654912071
"log_lik[1635]",2.99789824405,2.99877595,0.0109134273046703,0.0103356493799994,2.97854858,3.014106515,0.999707332596567,5027.98885916511,3265.62132485353
"log_lik[1636]",2.8305927687,2.8330617,0.0398472112080092,0.0394054323599998,2.76078389,2.892348215,1.00146966858591,4132.13552974971,3655.07891521122
"log_lik[1637]",1.88089228815,1.88444285,0.100432776676792,0.09985525977,1.709329555,2.043876045,1.00098307253356,4117.42782200987,3732.21558902428
"log_lik[1638]",2.285126959375,2.2881998,0.080162430835642,0.07983415524,2.14828231,2.41548199,1.00113907657742,4096.61218974672,3702.84036896213
"log_lik[1639]",-0.6872217237685,-0.679767905,0.18685090252691,0.186358698372,-1.002671185,-0.3820786405,1.00078668689074,4216.75896640886,3693.52620805993
"log_lik[1640]",2.43684168385,2.43862795,0.0711348610744275,0.0712470101700002,2.31330662,2.5516857,1.00132305995571,4091.70548961632,3702.56336001988
"log_lik[1641]",2.761824833575,2.7643735,0.0468160268404561,0.0464603103300001,2.68027561,2.83536367,1.00151434665214,4108.06106101674,3738.78521395939
"log_lik[1642]",2.278839165775,2.28194135,0.0805137001955226,0.08017708062,2.14146724,2.409809475,1.0011134599695,4096.85006203203,3667.11170635761
"log_lik[1643]",2.996113453,2.99726515,0.011759343982792,0.01102542903,2.97475767,3.01303169,1.00102339333869,5251.46005776939,3518.87001982132
"log_lik[1644]",2.055803928275,2.05902545,0.0921665899776676,0.09190185207,1.89862821,2.20517787,1.00102957866503,4108.76409186621,3703.0184803469
"log_lik[1645]",-4.482463412575,-4.4724395,0.276868454295795,0.27404660094,-4.95235593,-4.037012455,1.00061381274261,4377.51991718448,3731.66487210042
"log_lik[1646]",2.722552792725,2.72496955,0.0503721892864783,0.04988845218,2.634797215,2.802364375,1.0013895327257,4102.26331014032,3762.53546270219
"log_lik[1647]",2.995261184825,2.99637675,0.0119044073804042,0.01115515653,2.974026215,3.01290513,0.999704698986851,4862.07624359448,3277.55601749182
"log_lik[1648]",1.83444592175,1.83582855,0.102639036819567,0.10272379425,1.66003237,2.00093149,1.00158590152815,4116.01820083091,3654.69332767143
"log_lik[1649]",3.003741488175,3.00398815,0.00840555437871388,0.00809484773999994,2.989238225,3.016827615,1.00215808352943,6328.85243066611,3063.27894434585
"log_lik[1650]",2.99861908675,2.99944745,0.0106270102473967,0.00998657120999982,2.97983975,3.01438215,0.999617510677704,5087.37115610474,3295.98929426775
"log_lik[1651]",2.95755869015,2.95898445,0.0216196204113835,0.02117219517,2.918368275,2.990087865,1.00077168589567,4292.92740350237,3760.20583083737
"log_lik[1652]",3.000618750125,3.00135015,0.00992562753036668,0.00939760836000012,2.98297952,3.01542726,1.00154627983739,5729.22888095285,3356.48247731697
"log_lik[1653]",2.93499452815,2.93647245,0.0257532427605386,0.0252635781300001,2.88852186,2.97438188,1.00077601594323,4222.37861424152,3695.7410738514
"log_lik[1654]",2.912362741925,2.91435995,0.0295212195072675,0.0293028476999999,2.85962714,2.95705458,1.00178405702416,4214.65405921002,3726.59309147203
"log_lik[1655]",2.984501478625,2.98614565,0.0154998704684094,0.01484853552,2.95592025,3.00626787,1.00073885333646,4761.77610331386,3583.21742166292
"log_lik[1656]",2.991982658,2.9930955,0.0130342435127012,0.0123774119699999,2.96857354,3.010886175,0.999768506904706,4718.06064328935,3307.39585093504
"log_lik[1657]",3.004433490325,3.0045939,0.00798961827391926,0.00783680120999989,2.991131065,3.017144415,1.00199133928516,6433.84120727172,3029.16259827979
"log_lik[1658]",3.0042546598,3.00443035,0.00812090318295297,0.00787327317000011,2.990415255,3.01704285,1.00226094689262,6479.69815874605,2960.11234045065
"log_lik[1659]",2.1454846272,2.14727105,0.0876768658185722,0.0880666623899998,1.9956115,2.287651515,1.00130813589799,4100.20656219878,3762.53546270219
"log_lik[1660]",2.7283958783,2.73009175,0.0497130400523946,0.0496347051899998,2.64102043,2.80723632,1.00100760578724,4103.9274677904,3667.11170635761
"log_lik[1661]",2.9264875149,2.9278895,0.0271508428470177,0.0266366881200001,2.87764042,2.96833317,1.00073684869119,4201.89898385447,3659.44554168756
"log_lik[1662]",1.8727925723275,1.88781325,0.230317115585955,0.22696923249,1.47210041,2.22260352,1.00037341589138,5915.60037135861,2866.90522825769
"log_lik[1663]",2.77991677775,2.7815172,0.0449251574879763,0.0450238191899999,2.701181355,2.85060422,1.00095696749678,4113.74718411777,3703.05806429098
"log_lik[1664]",2.406747653575,2.40868205,0.0730047153496469,0.07318543554,2.280124205,2.5251625,1.00133150542381,4091.34842509198,3702.42487983503
"log_lik[1665]",2.121720685225,2.1236092,0.0889001239493015,0.0891613401000005,1.969888535,2.265923365,1.00133826428624,4100.1635865808,3762.6979277232
"log_lik[1666]",2.982558747025,2.9840024,0.015846529137596,0.0152423140799998,2.9541474,3.005753975,1.00014630624278,4490.63618712011,3802.39271290707
"log_lik[1667]",2.986130846825,2.9876049,0.0148423520446412,0.01426075875,2.95959434,3.00781531,1.00000370715641,4551.79476227516,3425.58590185646
"log_lik[1668]",2.994273520275,2.9954582,0.012255486889087,0.0114865917599995,2.97245027,3.012355305,0.999750113368812,4813.42130093817,3250.58776456951
"log_lik[1669]",2.829197859175,2.83141125,0.035671218792431,0.0353141976600001,2.76773985,2.88577469,1.00053260363184,4148.26403614326,3674.12822474203
"log_lik[1670]",1.860497028025,1.8634768,0.0903110392612267,0.0891153053699999,1.70652502,2.007959345,1.00064930916274,4100.80519933847,3394.82028334388
"log_lik[1671]",2.987478207775,2.98869525,0.0133946114279323,0.0127173721499999,2.963175995,3.007155845,0.999781451700169,4799.50822186094,3683.09314427454
"log_lik[1672]",2.929469700975,2.93118875,0.024081250240622,0.0234570300299998,2.887421405,2.967125745,1.00047974788824,4315.36830794288,3728.42706769065
"log_lik[1673]",-25.491190472,-25.481576,0.613523618585454,0.613863858299998,-26.4948886,-24.48011535,1.0005867842462,5617.29976552995,3614.82449692317
"log_lik[1674]",2.518705039775,2.52147755,0.0586462816436534,0.0573814384499999,2.418997375,2.614367795,1.00089434686128,4082.86603039632,3217.15023626156
"log_lik[1675]",2.549198524275,2.5521152,0.0567888525136919,0.0555291521399994,2.45248517,2.642048995,1.00078835990534,4085.01104610434,3217.15023626156
"log_lik[1676]",2.969145333625,2.9706904,0.0175118408946339,0.0172287756899994,2.93812252,2.99571553,1.00030449848254,4591.74834201226,3689.82157041617
"log_lik[1677]",2.929989381375,2.93172125,0.0240067767494469,0.0233748939899999,2.8880524,2.96751472,1.00046546573207,4316.9919916164,3746.77539637216
